title,year,organization
Sailfish: Alignment-free Isoform Quantification from RNA-seq Reads using Lightweight Algorithms.,2013,University of Maryland
Flexible and Extensible Digital Object and Repository Architecture (FEDORA).,2013,University of Michigan
"Policy-Carrying, Policy-Enforcing Digital Objects.",2013,University of Michigan
Three Generalizations of Davenport-Schinzel Sequences.,2014,University of Michigan
Sensitivity Analysis of Minimum Spanning Trees in Sub-Inverse-Ackermann Time.,2014,University of Michigan
The generalized Lasso with non-linear observations.,2015,University of Michigan
Robustness of Network Measures to Link Errors.,2013,University of Maryland
Multidimensional Manhattan Sampling and Reconstruction.,2015,University of Michigan
Binary Polarization Kernels from Code Decompositions.,2014,Tel Aviv University
Generating Extractive Summaries of Scientific Paradigms.,2014,University of Maryland
Generating Extractive Summaries of Scientific Paradigms.,2014,University of Michigan
Compositional Dictionaries for Domain Adaptive Face Recognition.,2013,University of Maryland
Sparse Dictionary-based Attributes for Action Recognition and Summarization.,2013,University of Maryland
Learning Robust Subspace Clustering.,2013,University of Maryland
Learning Transformations for Clustering and Classification.,2013,University of Maryland
Learning Transformations for Classification Forests.,2013,University of Maryland
Random Forests Can Hash.,2014,University of Maryland
Domain-invariant Face Recognition using Learned Low-rank Transformation.,2013,University of Maryland
Representation using the Weyl Transform.,2014,University of Maryland
NScale: Neighborhood-centric Large-Scale Graph Analytics in the Cloud.,2014,University of Maryland
Interaction in Quantum Communication Complexity.,2000,Tel Aviv University
Quantum Random Walks Hit Exponentially Faster.,2002,Tel Aviv University
The hidden subgroup problem and permutation group theory.,2004,Tel Aviv University
The Complexity of the Local Hamiltonian Problem.,2004,Tel Aviv University
Quantum Communication Cannot Simulate a Public Coin.,2004,Tel Aviv University
Dense Quantum Coding and a Lower Bound for 1-way Quantum Automata.,1998,Tel Aviv University
'Beating the news' with EMBERS: Forecasting Civil Unrest using Open Source Indicators.,2014,University of Maryland
Black Box Variational Inference.,2014,University of Michigan
A Supervisory Control Approach to Dynamic Cyber-Security.,2014,University of Michigan
Electricity Pooling Markets with Strategic Producers Possessing Asymmetric Information I: Elastic Demand.,2014,University of Michigan
Comparing apples to apples in the evaluation of binary coding methods.,2014,University of Maryland
Cooperative Local Repair in Distributed Storage.,2014,University of Maryland
Restricted Discrete Invariance and Self-Synchronization For Stable Walking of Bipedal Robots.,2014,University of Michigan
The number of unit-area triangles in the plane: Theme and variations.,2015,Tel Aviv University
Polynomials vanishing on grids: The Elekes-Rónyai problem revisited.,2014,Tel Aviv University
Training Deep Neural Networks on Noisy Labels with Bootstrapping.,2014,University of Michigan
CrowdGather: Entity Extraction over Structured Domains.,2015,University of Maryland
Disambiguating Noun Groupings with Respect to WordNet Senses.,1995,University of Maryland
Using Information Content to Evaluate Semantic Similarity in a Taxonomy.,1995,University of Maryland
Engineering Art Galleries.,2014,Tel Aviv University
Detecting Structural Irregularity in Electronic Dictionaries Using Language Modeling.,2014,University of Maryland
The Power of an Example: Hidden Set Size Approximation Using Group Queries and Conditional Sampling.,2014,Tel Aviv University
Randomized LU decomposition: An Algorithm for Dictionaries Construction.,2015,Tel Aviv University
Machine Assisted Authentication of Paper Currency: an Experiment on Indian Banknotes.,2014,University of Maryland
On Kinetic Delaunay Triangulations: A Near Quadratic Bound for Unit Speed Motions.,2013,Tel Aviv University
Every list-decodable code for high noise has abundant near-optimal rate puncturings.,2013,University of Michigan
It'll probably work out: improved list-decoding through random operations.,2014,University of Michigan
Capacity-achieving Sparse Superposition Codes via Approximate Message Passing Decoding.,2015,University of Michigan
A Systematic Methodology for Developing Discrete Event Simulation Models of Software Development Processes.,2014,University of Maryland
On Planning while Learning.,1994,Tel Aviv University
Nested Polar Codes Achieve the Shannon Rate-Distortion Function and the Shannon Capacity.,2014,University of Michigan
Polar Codes for Multi-terminal Communications.,2014,University of Michigan
The geography and carbon footprint of mobile phone use in Cote d'Ivoire.,2013,University of Michigan
"Asymptotically near-optimal RRT for fast, high-quality, motion planning.",2013,Tel Aviv University
Asymptotically Near-Optimal Motion Planning using Lower Bounds on Cost.,2014,Tel Aviv University
Information Spread in a Connected World.,2014,Tel Aviv University
Study the function of building blocks in SHA Family.,2014,University of Michigan
Fundamental Limits of Caching with Secure Delivery.,2013,University of Maryland
ChoiceGAPs: Competitive Diffusion as a Massive Multi-Player Game in Social Networks.,2014,University of Maryland
Randomized LU Decomposition.,2013,Tel Aviv University
Overlapped-MIMO Radar Waveform Design for Coexistence With Communication Systems.,2015,University of Maryland
Multi-Application Resource Allocation with Users Discrimination in Cellular Networks.,2014,University of Maryland
A Price Selective Centralized Algorithm for Resource Allocation with Carrier Aggregation in LTE Cellular Networks.,2014,University of Maryland
Impact of Radar and Communication Coexistence on Radar's Detectable Target Parameters.,2014,University of Maryland
Output-Sensitive Tools for Range Searching in Higher Dimensions.,2013,Tel Aviv University
Message Passing Algorithms for Phase Noise Tracking Using Tikhonov Mixtures.,2013,Tel Aviv University
Distinct Distances: Open Problems and Current Bounds.,2014,Tel Aviv University
Few distinct distances implies no heavy lines or circles.,2013,Tel Aviv University
Efficient Media Retrieval from Non-Cooperative Queries.,2014,University of Michigan
The Evolution of Beliefs over Signed Social Networks.,2013,University of Maryland
Emergent Behaviors over Signed Random Networks in Dynamical Environments.,2013,University of Maryland
Emergent Behaviors over Signed Random Dynamical Networks: State-Flipping Model.,2014,University of Maryland
Emergent Behaviors over Signed Random Dynamical Networks: Relative-State-Flipping Model.,2014,University of Maryland
High-performance Kernel Machines with Implicit Distributed Optimization and Randomization.,2014,Tel Aviv University
Generalized Proportional Allocation Mechanism Design for Multi-rate Multicast Service on the Internet.,2013,University of Michigan
Generalized Proportional Allocation Mechanism Design for Unicast Service on the Internet.,2014,University of Michigan
PSPACE-hardness of unlabeled motion planning and variants.,2014,Tel Aviv University
Preconditioned Krylov solvers for kernel regression.,2014,University of Maryland
Cancer Detection with Multiple Radiologists via Soft Multiple Instance Logistic Regression and $L_1$ Regularization.,2014,Tel Aviv University
Compression for Quadratic Similarity Queries: Finite Blocklength and Practical Schemes.,2014,Tel Aviv University
An Algorithm for $L_infty$ Approximation by Step Functions.,2014,University of Michigan
Optimal component labeling algorithms for mesh-connected computers and VLSI.,2015,University of Michigan
Geometric Relationships Between Gaussian and Modulo-Lattice Error Exponents.,2013,Tel Aviv University
Going Deeper with Convolutions.,2014,University of Michigan
"Scalable, High-Quality Object Detection.",2014,University of Michigan
Improving Smartphone Battery Life Utilizing Device-to-device Cooperative Relays Underlaying LTE Networks.,2014,University of Maryland
Web-Scale Training for Face Identification.,2014,Tel Aviv University
Event-Triggered Stabilization of Linear Systems Under Bounded Bit Rates.,2014,University of Maryland
Learning to Make Predictions In Partially Observable Environments Without a Generative Model.,2014,University of Michigan
A family of optimal locally recoverable codes.,2013,University of Maryland
Bounds on Locally Recoverable Codes with Multiple Recovering Sets.,2014,University of Maryland
Cyclic LRC Codes and their Subfield Subcodes.,2015,University of Maryland
Towards Optimal Secure Distributed Storage Systems with Exact Repair.,2013,University of Maryland
"Look Ma, No Hands! A Parameter-Free Topic Model.",2014,University of Michigan
Optimal Energy Procurement from a Strategic Seller with Private Renewable and Conventional Generation.,2014,University of Michigan
Selection Effects in Online Sharing: Consequences for Peer Adoption.,2013,University of Michigan
Distributed Online Big Data Classification Using Context Information.,2013,University of Michigan
Decentralized Online Big Data Classification - a Bandit Framework.,2013,University of Michigan
Distributed Online Learning via Cooperative Contextual Bandits.,2013,University of Michigan
eTutor: Online Learning for Personalized Education.,2014,University of Michigan
RELEAF: An Algorithm for Learning and Exploiting Relevance.,2015,University of Michigan
Contextual Online Learning for Multimedia Content Aggregation.,2015,University of Michigan
Distributed Online Learning in Social Recommender Systems.,2013,University of Michigan
Planar Shielded-Loop Resonators.,2014,University of Michigan
Physical Interpretation for the Arimoto Algorithm.,2014,Tel Aviv University
Secure MIMO Communications under Quantized Feedback in the presence of Jamming.,2014,University of Michigan
Adaptive Low-Complexity Sequential Inference for Dirichlet Process Mixture Models.,2014,University of Michigan
Collaborative 20 Questions for Target Localization.,2013,University of Michigan
On Decentralized Estimation with Active Queries.,2013,University of Michigan
H-infinity control problem for general discrete-time systems.,2014,University of Maryland
The Binary Energy Harvesting Channel with a Unit-Sized Battery.,2014,University of Maryland
Semantically-Secure Coding Scheme Achieving the Capacity of a Gaussian Wiretap Channel.,2014,University of Maryland
Converses for Secret Key Agreement and Secure Computing.,2014,University of Maryland
A Round-Robin Protocol for Distributed Estimation with H Consensus.,2014,Tel Aviv University
A Round-Robin Type Protocol for Distributed Estimation with H Consensus.,2014,Tel Aviv University
Energy Harvesting Wireless Communications: A Review of Recent Advances.,2015,University of Maryland
Taming the Concurrency: Controlling Concurrent Behavior while Testing Multithreaded Software.,2014,Tel Aviv University
On The Identifiability of Mixture Models from Grouped Samples.,2015,University of Michigan
The Three-Terminal Interactive Lossy Source Coding Problem.,2015,University of Michigan
Robust Multidimensional Mean-Payoff Games are Undecidable.,2014,Tel Aviv University
MKL-RT: Multiple Kernel Learning for Ratio-trace Problems via Convex Optimization.,2014,University of Maryland
Riemannian Metric Learning for Symmetric Positive Definite Matrices.,2015,University of Maryland
Efficient Interactive Algorithms for File Synchronization under General Edits.,2013,University of Michigan
The Gaussian Rate-Distortion Function of Sparse Regression Codes with Optimal Encoding.,2014,University of Michigan
Geometric VLAD for Large Scale Image Search.,2014,University of Michigan
From Maxout to Channel-Out: Encoding Information on Sparse Pathways.,2013,University of Maryland
Im2Fit: Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.,2014,University of Michigan
Compression in the Space of Permutations.,2014,University of Maryland
Adaptive-Rate Compressive Sensing Using Side Information.,2014,University of Maryland
Performance Guarantees for Adaptive Estimation of Sparse Signals.,2013,University of Michigan
Large Deviations Analysis of Variable-Rate Slepian-Wolf Coding.,2014,Tel Aviv University
Simplified Erasure/List Decoding.,2014,Tel Aviv University
Analyzing Big Data with Dynamic Quantum Clustering.,2013,Tel Aviv University
Inequalities for the Bayes Risk.,2014,Tel Aviv University
Polar Coding for the General Wiretap Channel.,2014,University of Maryland
The application of Compressed Sensing for Longitudinal MRI.,2014,Tel Aviv University
Analyzing Incentives for Protocol Compliance in Complex Domains: A Case Study of Introduction-Based Routing.,2013,University of Michigan
A Comparative Analysis of Ensemble Classifiers: Case Studies in Genomics.,2013,University of Michigan
A forward-backward single-source shortest paths algorithm.,2014,Tel Aviv University
SmartAnnotator: An Interactive Tool for Annotating RGBD Indoor Images.,2014,Tel Aviv University
Resource-Driven Mission-Phasing Techniques for Constrained Agents in Stochastic Environments.,2014,University of Michigan
DorFin: WiFi Fingerprint-based Localization Revisited.,2013,University of Michigan
Measuring Influence in Twitter Ecosystems using a Counting Process Modeling Framework.,2014,University of Michigan
Performance Metrics and Design Parameters for a Free-space Communication Link Based on Multiplexing of Multiple Orbital-Angular-Momentum Beams.,2014,Tel Aviv University
Secure Degrees of Freedom Regions of Multiple Access and Interference Channels: The Polytope Structure.,2014,University of Maryland
From Shading to Local Shape.,2013,University of Maryland
ACO-OFDM-Specified Recoverable Upper Clipping With Efficient Detection for Optical Wireless Communications.,2015,University of Maryland
Multi-GPU Training of ConvNets.,2013,Tel Aviv University
Generating Preview Tables for Entity Graphs.,2014,University of Maryland
Probabilistic Data Association-Feedback Particle Filter for Multiple Target Tracking Applications.,2014,University of Maryland
Periodic Behaviors in Constrained Multi-agent Systems.,2014,University of Maryland
Synchronization for Multi-agent Systems under Directed Switching Topologies.,2014,University of Maryland
Transport Capacity of Distributed Wireless CSMA Networks.,2014,University of Maryland
Quasi-Monte Carlo Feature Maps for Shift-Invariant Kernels.,2014,Tel Aviv University
HD-CNN: Hierarchical Deep Convolutional Neural Network for Image Classification.,2014,University of Michigan
Distributed Relay Selection Protocols for Simultaneous Wireless Information and Power Transfer.,2014,University of Maryland
"Compression, Restoration, Re-sampling, Compressive Sensing: Fast Transforms in Digital Imaging.",2014,Tel Aviv University
Towards $k$-connectivity of the random graph induced by a pairwise key predistribution scheme with unreliable links.,2014,University of Maryland
Polar Codes for Distributed Hierarchical Source Coding.,2014,University of Maryland
Universal Source Polarization and an Application to a Multi-User Problem.,2014,University of Maryland
Towards a Principled Representation of Discourse Plans.,1994,University of Michigan
Correcting Errors in Digital Lexicographic Resources Using a Dictionary Manipulation Language.,2014,University of Maryland
Spectra of random graphs with community structure and arbitrary degrees.,2013,University of Michigan
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues.,2015,Tel Aviv University
Audio Splicing Detection and Localization Using Environmental Signature.,2014,University of Michigan
On asymptotically exact probability of $k$-connectivity in random key graphs intersecting Erd?s-Rényi graphs.,2014,University of Maryland
Distributed Interference-Aware Energy-Efficient Resource Allocation for Device-to-Device Communications Underlaying Cellular Networks.,2014,University of Michigan
Energy Efficiency and Spectral Efficiency Tradeoff in Device-to-Device (D2D) Communications.,2014,University of Michigan
ConceptLearner: Discovering Visual Concepts from Weakly Labeled Image Collections.,2014,University of Michigan
Johnson-Lindenstrauss Compression with Neuroscience-Based Constraints.,2014,Tel Aviv University
Spatially embedded growing small-world networks.,2013,University of Maryland
New global optimization algorithms for model-based clustering.,2009,University of Maryland
Quasi-Monte Carlo sampling to improve the efficiency of Monte Carlo EM.,2005,University of Maryland
Ascent EM for fast and global solutions to finite mixtures: An application to curve-clustering of online auctions.,2006,University of Maryland
A Bayesian analysis of dual autoradiographic images.,2009,University of Michigan
Conditional mean estimation under asymmetric and heteroscedastic error by linear combination of quantile regressions.,2006,University of Maryland
Estimation of the volume under the ROC surface with three ordinal diagnostic categories.,2013,University of Maryland
Estimating confidence intervals for the difference in diagnostic accuracy with three ordinal diagnostic categories without a gold standard.,2013,University of Maryland
Pooled ANOVA.,2008,University of Maryland
A new algorithm to generate beta processes.,2004,University of Michigan
EM algorithms for multivariate Gaussian mixture models with truncated and censored data.,2012,University of Michigan
Nonparametric feature screening.,2013,University of Michigan
Predicting unobserved links in incompletely observed networks.,2008,University of Maryland
Using data images for outlier detection.,2003,University of Maryland
Fast robust regression algorithms for problems with Toeplitz structure.,2007,University of Maryland
Homogeneity analysis using absolute deviations.,2005,University of Michigan
A practical approximation algorithm for the LMS line estimator.,2007,University of Maryland
Optimization of large simulations using statistical software.,2007,Tel Aviv University
"Visualization and inference based on wavelet coefficients, SiZer and SiNos.",2007,University of Michigan
Statistical inference on attributed random graphs: Fusion of graph features and content: An experiment on time series of Enron graphs.,2010,University of Maryland
Class cover catch digraphs for latent class discovery in gene expression monitoring by DNA microarrays.,2003,University of Maryland
Transformations for semi-continuous data.,2008,University of Maryland
LASS: a tool for the local analysis of self-similarity.,2006,University of Michigan
Unimodal regression via prefix isotonic regression.,2008,University of Michigan
Fast implementation of a scan statistic for identifying chromosomal patterns of genome wide association studies.,2009,University of Michigan
The cluster graphical lasso for improved estimation of Gaussian graphical models.,2015,University of Michigan
Modeling computer virus prevalence with a susceptible-infected-susceptible model with reintroduction.,2004,University of Maryland
Coordinate ascent for penalized semiparametric regression on high-dimensional panel count data.,2012,University of Maryland
Identification of differentially expressed spatial clusters using humoral response microarray data.,2009,University of Michigan
On homogeneous least-squares problems and the inconsistency introduced by mis-constraining.,2004,Tel Aviv University
High-resolution census data: a simple way to make them useful.,2003,Tel Aviv University
"The selection, appraisal, and retention of social science data.",2004,University of Michigan
An experimental investigation of turnover intentions among new entrants in it.,2007,University of Maryland
Implication of Data Quality for Spreadsheet Analysis.,1987,University of Michigan
Information processing model of information technology adaptation: an intra-organizational diffusion perspective.,2005,University of Michigan
Intensity of End User Computing.,1991,Tel Aviv University
Team collaboration in virtual worlds.,2007,University of Michigan
A Descriptive Model of Information Systems in the Context of the Organization.,1973,University of Maryland
Bibliography on Data Structures.,1974,University of Maryland
Automating Database Construction.,1983,Tel Aviv University
Physical Database Design: A Decision Support Model.,1993,Tel Aviv University
A Computer-Aided Technique for Structured Documentation.,1976,University of Michigan
``Other Factors'' in DBMS Selection and Implementation.,1975,University of Maryland
Declarative Specification of Electronic Commerce Applications.,2000,Tel Aviv University
Tools for Data Translation and Integration.,1999,Tel Aviv University
Managing Uncertainty in Social Networks.,2007,University of Michigan
Multiprocessor Transitive Closure Algorithms.,1989,University of Michigan
Improving Responsiveness for Wide-Area Data Access.,1997,University of Maryland
The New Jersey Data Reduction Report.,1997,University of Michigan
Collective Entity Resolution In Relational Data.,2006,University of Maryland
CAD/CAM Database Management.,1984,University of Maryland
Structured Queries Over Web Text.,2006,University of Michigan
Processing Multiple Queries in Database Systems.,1982,University of Maryland
Issues in Building Practical Provenance Systems.,2007,University of Michigan
A Methodology for Query Optimization in Distributed Database Systems.,1982,University of Michigan
Building a Cloud for Yahoo!,2009,University of Maryland
Resource-Aware Wireless Sensor-Actuator Networks.,2005,University of Maryland
Querying Future and Past in Business Processes.,2009,Tel Aviv University
Logic Approach to Knowledge and Data Bases at ECRC.,1987,University of Maryland
Active Database Facilities in Ode.,1992,University of Michigan
An Extended Transaction Environment for Workflows in Distributed Object Computing.,1993,University of Maryland
Learning Structure From Statistical Models.,2003,University of Maryland
An Introduction to Probabilistic Graphical Models for Relational Data.,2006,University of Maryland
Using q-grams in a DBMS for Approximate String Processing.,2001,University of Michigan
Adaptive Query Processing: Technology in Evolution.,2000,University of Maryland
TelegraphCQ: An Architectural Status Report.,2003,University of Maryland
"Usability, Databases, and HCI.",2012,University of Michigan
Refining Information Extraction Rules using Data Provenance.,2010,University of Michigan
Information Interchange between Self-Describing Databases.,1987,University of Maryland
A Database System for Engineering Design.,1984,University of Maryland
Exploiting Concurrency in a DBMS Implementation for Production Systems.,1989,University of Maryland
The Database Design and Evaluation Workbench (DDEW) Project at CCA.,1984,University of Maryland
The ADMS Project: View R Us.,1995,University of Maryland
Roads Belong in Databases.,2010,University of Maryland
Interactive Spatial Directories.,1993,University of Michigan
Increasing the Predictive Power of Affiliation Networks.,2007,University of Maryland
Systems and Techniques for Research in Physical Database Design at the University of Michigan.,1982,University of Michigan
XJoin: A Reactively-Scheduled Pipelined Join Operator.,2000,University of Maryland
Quorum Systems in Replicated Databases: Science or Fiction?,1998,Tel Aviv University
Querying XML in Timber.,2008,University of Michigan
CM-tree: A dynamic clustered index for similarity search in metric databases.,2007,Tel Aviv University
Organization and problem ontology for supply chain information support system.,2007,University of Michigan
Investigating diversity of clustering methods: An empirical comparison.,2007,Tel Aviv University
The metaknowledge-based intelligent routing system (MIRS).,2000,Tel Aviv University
A pictorial index mechanism for model-based matching.,1992,University of Michigan
Combining data-driven systems for improving Named Entity Recognition.,2007,University of Maryland
An Integrated Temporal Data Model Incorporating Time Series Concept.,1998,University of Michigan
Performance Issues in the Binary Relationship Model.,1989,University of Maryland
Time sequence ordering extensions to the Entity-Relationship model and their application to the automated manufacturing process.,1991,University of Michigan
XML queries and algebra in the Enosys integration platform.,2003,University of Maryland
A Knowledge-Based Approach to Multiple Query Processing.,1989,University of Michigan
Expert Database Systems: Efficient Support for Engineering Environments.,1988,University of Maryland
Improvements on a Heuristic Algorithm for Multiple-Query Optimization.,1994,University of Maryland
Augmenting the power of LSI in text retrieval: Singular value rescaling.,2008,University of Michigan
Uncertainty in a Nested Relational Database Model.,1999,University of Maryland
A conceptual model for increasing utilization of dependable computer networks.,2003,Tel Aviv University
Towards Generating a Data Integrity Standard.,2000,Tel Aviv University
Understanding provenance black boxes.,2010,University of Michigan
Performance and Design Evaluation of the RAID-II Storage Server.,1994,University of Michigan
Guest Editors' Introduction.,1993,University of Michigan
Living with Database Conflicts: A Temporal Branching Technique.,2005,Tel Aviv University
Self-adapting recovery nets for policy-driven exception handling in business processes.,2008,University of Michigan
Practical Prefetching Techniques for Multiprocessor File Systems.,1993,University of Maryland
Optimizing thermal design of data center cabinets with a new multi-objective genetic algorithm.,2007,University of Maryland
Context-based matching for Web service composition.,2007,University of Michigan
A Dynamic Foundational Architecture for Semantic Web Services.,2005,University of Michigan
Query optimization via contention space partitioning and cost error controlling for dynamic multidatabase systems.,2008,University of Michigan
Review - Querying XML Data.,2000,University of Michigan
Review - Concurrency Control Performance Modeling: Alternatives and Implications.,2000,University of Michigan
Review - Aqua: A Fast Decision Support Systems Using Approximate Query Answers.,1999,University of Michigan
Review - Landmarks: a New Model for Similarity-based Pattern Querying in Time Series Databases.,1999,University of Michigan
Review - Explaining Differences in Multidimensional Aggregates.,1999,University of Michigan
Review - A Novel Index Supporting High Volume Data Warehouse Insertion.,1999,University of Michigan
Review - Datawarehousing Has More Colours Than Just Black & White.,1999,University of Michigan
Review - Relational Databases for Querying XML Documents: Limitations and Opportunities.,1999,University of Michigan
"Review - Data Cube: A Relational Aggregation Operator Generalizing Group-By, Cross-Tab, and Sub-Total.",1999,University of Maryland
Review - Relational Databases for Querying XML Documents: Limitations and Opportunities.,2000,University of Michigan
Review - Methodological Framework for Data Warehouse Design.,2000,University of Michigan
Direct position determination in the presence of model errors - known waveforms.,2006,Tel Aviv University
A direction finding algorithm for diversely polarized arrays.,1992,Tel Aviv University
Cryptographic Key Agreement for Mobile Radio.,1996,University of Michigan
Adaptive multi-modality sensor scheduling for detection and tracking of smart targets.,2006,University of Michigan
Bias Estimation in an Association-Free Nonlinear Filter.,2002,University of Michigan
Internet transmission of DICOM images with effective low bandwidth utilization.,2006,University of Maryland
A diffusion framework for detection of moving vehicles.,2010,Tel Aviv University
Steering Vector and Signal Estimation for Uncalibrated Polarization Sensitive Arrays.,1996,Tel Aviv University
Privacy-Preserving Data Publishing.,2009,University of Michigan
Adaptive Query Processing.,2007,University of Maryland
Efficient Window Block Retrieval in Quadtree-Based Spatial Databases.,1997,University of Maryland
Shape deformation in continuous map generalization.,2009,University of Maryland
Symbolic Intersect Detection: A Method for Improving Spatial Intersect Joins.,1998,University of Michigan
An Application of Advanced Spatio-Temporal Formalisms to Behavioural Ecology.,2008,University of Michigan
Building and Querying a P2P Virtual World.,2006,University of Maryland
"Amalgamating Knowledge Bases, II: Distributed Mediators.",1994,University of Maryland
Combining Default Logic Databases.,1994,University of Maryland
On Intelligent and Cooperative Information Systems: A Workshop Summary.,1992,University of Maryland
Preface.,1994,University of Maryland
A Methodology for Query Reformulation in CIS Using Semantic Knowledge.,1996,University of Maryland
SWIFT: System Workbench for Integrating and Facilitating Teams.,1994,University of Maryland
Distributed Object Management.,1992,University of Maryland
Webbis: An Infrastructure For Agile Integration Of Web Services.,2004,University of Michigan
Using Priorities to Combine Knowledge Bases.,1996,University of Maryland
Interoperable Query Processing from Object to Relational Schemas Based on a Parameterized Canonical Representation.,1995,University of Maryland
The Role of Commitment in Cooperative Negotiation.,1994,University of Michigan
A Distributed Problem-Solving Infrastructure for Computer Network Management.,1992,University of Michigan
Query Evaluation in Partitoned Disjunctive Deductive Databases.,1994,University of Maryland
Scalable Catalog Infrastructure for Managing Access Costs and Source Selection in Wide Area Networks.,2008,University of Maryland
Secure Collaborative Integrity Verification for Hybrid Cloud Environments.,2012,University of Michigan
Kleisli category and database mappings.,2010,University of Maryland
Supply chain management in theory and practice: a passing fad or a fundamental change?,2000,University of Michigan
Enterprise architectural framework for supply-chain integration.,2001,University of Michigan
Enhancing the effectiveness of benchmarking in manufacturing organizations.,2001,University of Michigan
"Serve your supply chain, not operations - a case study.",2001,University of Michigan
A knowledge integration framework for complex network management.,2007,University of Michigan
The priority curve algorithm for video summarization.,2006,University of Maryland
Optimal view caching.,1990,University of Maryland
Querying business processes with BP-QL.,2008,Tel Aviv University
The application of data types to database semantic integrity.,1980,University of Maryland
Axiomatic definitions for data modes semantics.,1982,University of Maryland
Approximate pattern matching in a pattern database system.,1980,University of Maryland
Processing approximate aggregate queries in wireless sensor networks.,2006,University of Maryland
The answerability of database queries.,1985,Tel Aviv University
Concurrency in Extendible Hashing.,1988,University of Maryland
2LP: A double-lazy XML parser.,2009,University of Michigan
Question-and-answer passwords: an empirical evaluation.,1991,Tel Aviv University
Building efficient and flexible feature-based indices.,1990,University of Michigan
A hierarchical model of organizational control for the analysis of information systems requirements.,1987,University of Michigan
GrouPeer: Dynamic clustering of P2P databases.,2009,University of Maryland
Estimating Block Accesses in a B+-Tree whose Leaf Records are of Arbitrary Size.,1997,University of Michigan
Information interchange between self-describing databases.,1990,University of Maryland
Formal Models of Web Queries.,1998,Tel Aviv University
"Binary relations, matrices and inference developments.",1978,University of Maryland
On recursive axioms in deductive databases.,1983,University of Maryland
TORUS: a step towards bridging the gap between data bases and the casual user.,1976,University of Maryland
The OO-method approach for information systems modeling: from object-oriented conceptual modeling to automated programming.,2001,University of Maryland
Dynamic access control for relational views.,1985,University of Maryland
The Michigan benchmark: towards XML query performance diagnostics.,2006,University of Michigan
Efficient compilation of large rule bases using logical access paths.,1990,University of Maryland
Recuced combined indexes for efficient multiple attribute retrieval.,1977,University of Maryland
A Note on Human Factors Issues of Natural Language Interaction With Database Systems.,1981,University of Maryland
Using Hilbert curve in image storing and retrieving.,2002,University of Maryland
Browsing large online data tables using generalized query previews.,2007,University of Maryland
Comparing top-k XML lists.,2013,University of Michigan
A graphical query interface based on aggregation/generalization hierarchies.,1993,University of Maryland
Optimized algorithms for predictive range and KNN queries on moving objects.,2010,University of Michigan
Organizational Pitfalls of Reengineering.,1998,University of Maryland
The Y2K Boon to is and Business.,1999,University of Maryland
Editorial Notes.,2011,University of Maryland
Editorial Notes.,2011,University of Maryland
Editorial Notes - Reflections on Year One: A 2011 Retrospective.,2011,University of Maryland
Editorial Notes.,2012,University of Maryland
Editorial Notes.,2013,University of Maryland
Editorial Notes.,2013,University of Maryland
Editorial Notes.,2014,University of Maryland
Research Note - Social Interactions and the Digital Divide: Explaining Variations in Internet Use.,2009,University of Maryland
"Editorial - Big Data, Data Science, and Analytics: The Opportunity and Challenge for IS Research.",2014,University of Maryland
Research Commentary - The Digital Transformation of Healthcare: Current Status and the Road Ahead.,2010,University of Maryland
Special Issue: The Interplay Between Digital and Social Networks.,2005,University of Maryland
Call for Papers - Special Issue: The Interplay Between Digital and Social Networks.,2006,University of Maryland
Editorial Overview - The Interplay Between Digital and Social Networks.,2008,University of Maryland
Editors' Preface.,2014,University of Maryland
A Conceptual and Operational Definition of Personal Innovativeness in the Domain of Information Technology.,1998,University of Maryland
Research Report: The Evolving Relationship Between General and Specific Computer Self-Efficacy - An Empirical Assessment.,2000,University of Maryland
Assessing a Firm's Web Presence: A Heuristic Evaluation Procedure for the Measurement of Usability.,2002,University of Maryland
"The Digitization of Healthcare: Boundary Risks, Emotion, and Consumer Willingness to Disclose Personal Health Information.",2011,University of Maryland
Research Note - Quality Uncertainty and the Performance of Online Sponsored Search Markets: An Empirical Investigation.,2010,University of Maryland
"Competing Creatively in Sponsored Search Markets: The Effect of Rank, Differentiation Strategy, and Competition on Performance.",2011,University of Maryland
Using Treemaps to Visualize the Analytic Hierarchy Process.,1995,University of Maryland
The Impact of E-Commerce on Competition in the Retail Brokerage Industry.,2005,University of Maryland
Consumer Surplus in Online Auctions.,2008,University of Maryland
Research Note - The Impact of Community Commitment on Participation in Online Communities.,2011,University of Maryland
"Membership Size, Communication Activity, and Sustainability: A Resource-Based Model of Online Social Structures.",2001,University of Maryland
The Cross-Purposes of Cross-Posting: Boundary Reshaping Behavior in Online Discussion Communities.,2012,University of Maryland
Integrating Mathematical and Symbolic Models Through AESOP: An Expert for Stock Options Pricing.,1992,University of Maryland
"The Effects of Diversity in Global, Distributed Collectives: A Study of Open Source Project Success.",2013,University of Maryland
Research Note - Knowledge Exploration and Exploitation: The Impacts of Psychological Climate and Knowledge Management System Access.,2011,University of Maryland
A Classification of Information Systems: Analysis and Interpretation.,1993,Tel Aviv University
IT Human Resource Management Configurations and IT Turnover: Theoretical Synthesis and Empirical Analysis.,2005,University of Maryland
"Special Section Introduction - Information, Technology, and the Changing Nature of Work.",2014,University of Michigan
